datetime,000001.SH,cash,commission,direction,signal,total,returns,equity_curve,drawdown,open,high,low,close,volume,,,
2010-12-21,3630.109,6561.871,50,1,0,10191.98,0.0528915836,2.038396,0.045924,2857.589,2908.166,2846.633,2904.115,136465367.5253,,,
2010-12-22,3367.959,6561.871,50,1,0,9929.83,-0.0257212043,1.985966,0.098354,2910.731,2917.199,2867.049,2877.9,126067397.506,,,
2010-12-23,3141.159,6561.871,50,1,-1,9703.03,-0.0228402702,1.940606,0.143714,2874.202,2893.711,2849.836,2855.22,109372940.6218,,,
2010-12-24,3055.85,6842.81,60,-1,0,9898.66,0.0201617433,1.979732,0.104588,2841.346,2853.486,2813.496,2835.157,95886756.271,,,
2010-12-27,3593.4,6842.81,60,-1,0,10436.21,0.0543053302,2.087242,0,2842.807,2876.811,2774.538,2781.402,123390148.345,,,
2010-12-28,4077.52,6842.81,60,-1,0,10920.33,0.0463884878,2.184066,0,2768.031,2775.149,2730.407,2732.99,96990632.639,,,
2010-12-29,3892.15,6842.81,60,-1,0,10734.96,-0.0169747618,2.146992,0.037074,2735.476,2753.025,2721.479,2751.527,76202882.885,,,
2010-12-30,3811.67,6842.81,60,-1,0,10654.48,-0.0074970005,2.130896,0.05317,2751.973,2768.126,2724.541,2759.575,86056703.4424,,,
2010-12-31,3326.65,6842.81,60,-1,0,10169.46,-0.0455226346,2.033892,0.150174,2759.162,2808.926,2758.131,2808.077,108441746,,,
2011-01-04,2880.94,6842.81,60,-1,0,9723.75,-0.0438282859,1.94475,0.239316,2825.329,2855.396,2810.108,2852.648,145662396.301,,,
2011-01-05,3021.49,6842.81,60,-1,0,9864.3,0.0144543,1.97286,0.211206,2833.117,2850.493,2824.296,2838.593,135264799.913,,,
2011-01-06,3165.45,6842.81,60,-1,0,10008.26,0.0145940411,2.001652,0.182414,2838.435,2853.875,2816.951,2824.197,113251589.8837,,,
2011-01-07,3019.41,6842.81,60,-1,0,9862.22,-0.0145919471,1.972444,0.211622,2820.665,2868.005,2807.87,2838.801,137163500.551,,,
2011-01-10,3489.33,6842.81,60,-1,0,10332.14,0.047648501,2.066428,0.117638,2832.622,2847.358,2786.861,2791.809,110796771.365,,,
2011-01-11,3366.95,6842.81,60,-1,0,10209.76,-0.0118445937,2.041952,0.142114,2783.476,2810.762,2770.338,2804.047,94484834.0248,,,
2011-01-12,3194.37,6842.81,60,-1,0,10037.18,-0.0169034336,2.007436,0.17663,2811.785,2828.468,2788.13,2821.305,88093030.259,,,
2011-01-13,3130.29,6842.81,60,-1,0,9973.1,-0.0063842633,1.99462,0.189446,2830.534,2837.526,2810.874,2827.713,87930916.312,,,
2011-01-14,3493.98,6842.81,60,-1,1,10336.79,0.0364670965,2.067358,0.116708,2817.048,2817.048,2780.438,2791.344,90644705.328,,,
2011-01-17,1944.504,7540.446,70,1,0,9484.95,-0.082408562,1.89699,0.287076,2772.45,2780.942,2698.781,2706.66,104849169.131,,,
2011-01-18,1967.694,7540.446,70,1,0,9508.14,0.0024449259,1.901628,0.282438,2696.147,2715.406,2683.367,2708.979,67738468.875,,,
2011-01-19,2458.874,7540.446,70,1,0,9999.32,0.0516588944,1.999864,0.184202,2707.816,2759.602,2700.811,2758.097,89943624.641,,,
2011-01-20,1654.424,7540.446,70,1,0,9194.87,-0.0804504706,1.838974,0.345092,2752.799,2752.799,2676.129,2677.652,95850318.768,,,
2011-01-21,2030.844,7540.446,70,1,0,9571.29,0.0409380448,1.914258,0.269808,2668.677,2746.178,2667.286,2715.294,102843430.98,,,
2011-01-24,1835.104,7540.446,70,1,0,9375.55,-0.0204507438,1.87511,0.308956,2716.524,2736.109,2690.652,2695.72,96191099.722,,,
2011-01-25,1652.224,7540.446,70,1,0,9192.67,-0.0195060556,1.838534,0.345532,2691.693,2701.044,2661.448,2677.432,75578247.321,,,
2011-01-26,1966.044,7540.446,70,1,0,9506.49,0.0341380687,1.901298,0.282768,2677.172,2710.738,2676.769,2708.814,67295416.0313,,,
2011-01-27,2369.404,7540.446,70,1,0,9909.85,0.042429961,1.98197,0.202096,2690.825,2753.001,2677.21,2749.15,115247052.003,,,
2011-01-28,2405.404,7540.446,70,1,0,9945.85,0.0036327492,1.98917,0.194896,2741.314,2759.44,2733.291,2752.75,98480283.9585,,,
2011-01-31,2784.844,7540.446,70,1,0,10325.29,0.0381505854,2.065058,0.119008,2751.527,2790.921,2748.538,2790.694,106841488.912,,,
2011-02-01,2867.504,7540.446,70,1,0,10407.95,0.0080055863,2.08159,0.102476,2795.071,2805.049,2785.296,2798.96,90093971.271,,,
2011-02-09,2618.554,7540.446,70,1,0,10159,-0.0239192156,2.0318,0.152266,2778.701,2804.208,2764.867,2774.065,104839248.014,,,
2011-02-10,3059.534,7540.446,70,1,0,10599.98,0.0434078157,2.119996,0.06407,2769.646,2819.063,2760.175,2818.163,117148637.0648,,,
2011-02-11,3151.184,7540.446,70,1,0,10691.63,0.0086462427,2.138326,0.04574,2815.119,2835.411,2807.605,2827.328,127724538.6863,,,
2011-02-14,3869.244,7540.446,70,1,0,11409.69,0.0671609474,2.281938,0,2828.571,2906.261,2828.571,2899.134,179800960.2775,,,
2011-02-15,3870.274,7540.446,70,1,0,11410.72,9.02741441703991E-05,2.282144,0,2900.427,2934.467,2892.637,2899.237,187333867.986,,,
2011-02-16,4116.864,7540.446,70,1,0,11657.31,0.0216103804,2.331462,0,2893.682,2924.188,2882.549,2923.896,160067647.859,,,
2011-02-17,4147.544,7540.446,70,1,0,11687.99,0.002631825,2.337598,0,2929.255,2939.284,2905.032,2926.964,169047618.0193,,,
2011-02-18,3875.824,7540.446,70,1,0,11416.27,-0.0232477954,2.283254,0.054344,2924.23,2924.23,2890.262,2899.792,142026766.6405,,,
2011-02-21,4200.364,7540.446,70,1,0,11740.81,0.028427849,2.348162,0,2886.54,2932.82,2884.191,2932.246,146223076.327,,,
2011-02-22,3433.064,7540.446,70,1,0,10973.51,-0.0653532422,2.194702,0.15346,2941.318,2944.413,2851.62,2855.516,191781551.912,,,
2011-02-23,3504.244,7540.446,70,1,0,11044.69,0.0064865298,2.208938,0.139224,2844.99,2868.484,2839.195,2862.634,137631214.9434,,,
2011-02-24,3663.934,7540.446,70,1,-1,11204.38,0.0144585317,2.240876,0.107286,2861.393,2881.537,2854.564,2878.603,137321708.1195,,,
2011-02-25,2878.983,8320.777,80,-1,0,11199.76,-0.0004123387,2.239952,0.10821,2876.777,2890.324,2848.65,2878.565,124246938.03,,,
2011-02-28,2614.103,8320.777,80,-1,0,10934.88,-0.0236505068,2.186976,0.161186,2880.17,2906.169,2861.817,2905.053,148337062.8678,,,
2011-03-01,2475.433,8320.777,80,-1,0,10796.21,-0.0126814377,2.159242,0.18892,2906.285,2931.58,2901.552,2918.92,172228926.4315,,,
2011-03-02,2526.553,8320.777,80,-1,0,10847.33,0.004734995,2.169466,0.178696,2905.514,2924.963,2883.566,2913.808,165439298.1471,,,
2011-03-03,2634.853,8320.777,80,-1,0,10955.63,0.0099840237,2.191126,0.157036,2918.731,2937.557,2900.761,2902.978,177696887.629,,,
2011-03-04,2241.573,8320.777,80,-1,0,10562.35,-0.0358975248,2.11247,0.235692,2902.19,2944.459,2898.084,2942.306,144491216.9643,,,
2011-03-07,1702.523,8320.777,80,-1,0,10023.3,-0.0510350443,2.00466,0.343502,2952.722,3000.429,2952.722,2996.211,207910763.343,,,
2011-03-08,1665.213,8320.777,80,-1,0,9985.99,-0.003722327,1.997198,0.350964,2996.727,3001.624,2976.6,2999.942,168656782.308,,,
2011-03-09,1643.093,8320.777,80,-1,0,9963.87,-0.0022151034,1.992774,0.355388,3002.546,3012.044,2989.342,3002.154,165317764.1701,,,
2011-03-10,2093.203,8320.777,80,-1,0,10413.98,0.0451742144,2.082796,0.265366,2995.768,2995.768,2954.367,2957.143,166466133.706,,,
2011-03-11,2326.673,8320.777,80,-1,0,10647.45,0.0224189023,2.12949,0.218672,2942.419,2966.98,2927.683,2933.796,152652657.6037,,,
2011-03-14,2288.363,8320.777,80,-1,0,10609.14,-0.0035980446,2.121828,0.226334,2923.982,2939.652,2914.458,2937.627,152525993.3518,,,
2011-03-15,2702.073,8320.777,80,-1,1,11022.85,0.0389956208,2.20457,0.143592,2927.984,2927.984,2850.945,2896.256,187646016.838,,,
2011-03-16,3241.736,8121.594,90,1,0,11363.33,0.0308885633,2.272666,0.075496,2894.252,2934.018,2894.252,2930.804,165811913.7722,,,
2011-03-17,2906.676,8121.594,90,1,0,11028.27,-0.0294860749,2.205654,0.142508,2906.955,2935.625,2885.651,2897.298,170585811.6166,,,
2011-03-18,3002.556,8121.594,90,1,0,11124.15,0.00869402,2.22483,0.123332,2920.806,2930.606,2900.872,2906.886,127487190.0989,,,
2011-03-21,3025.066,8121.594,90,1,0,11146.66,0.0020235254,2.229332,0.11883,2913.913,2927.073,2895.154,2909.137,122405131.566,,,
2011-03-22,3125.116,8121.594,90,1,0,11246.71,0.0089757829,2.249342,0.09882,2917.687,2923.392,2884.751,2919.142,120190606.777,,,
2011-03-23,3418.466,8121.594,90,1,0,11540.06,0.0260831834,2.308012,0.04015,2919.016,2950.422,2911.626,2948.477,138318531.071,,,
2011-03-24,3400.756,8121.594,90,1,0,11522.35,-0.0015346541,2.30447,0.043692,2949.85,2958.663,2942.134,2946.706,137266005.8041,,,
2011-03-25,3711.836,8121.594,90,1,0,11833.43,0.0269979648,2.366686,0,2948.543,2985.083,2946.697,2977.814,171136870.3511,,,
2011-03-28,3773.746,8121.594,90,1,0,11895.34,0.0052317882,2.379068,0,2985.356,3005.783,2979.196,2984.005,196335110.544,,,
2011-03-29,3514.466,8121.594,90,1,0,11636.06,-0.0217967708,2.327212,0.051856,2979.865,2994.174,2953.54,2958.077,199600754.521,,,
2011-03-30,3491.406,8121.594,90,1,0,11613,-0.0019817705,2.3226,0.056468,2955.453,2968.182,2935.747,2955.771,152547180.1763,,,
2011-03-31,3214.806,8121.594,90,1,0,11336.4,-0.0238181348,2.26728,0.111788,2954.653,2961.63,2914.384,2928.111,134408182.8965,,,
2011-04-01,3607.796,8121.594,90,1,0,11729.39,0.034666208,2.345878,0.03319,2932.481,2967.847,2924.394,2967.41,125719196.0251,,,
2011-04-06,3947.296,8121.594,90,1,0,12068.89,0.0289443867,2.413778,0,2964.212,3005.238,2963.899,3001.36,176487792.733,,,
2011-04-07,4012.786,8121.594,90,1,0,12134.38,0.0054263482,2.426876,0,3003.204,3012.288,2990.311,3007.909,152941715.634,,,
2011-04-08,4233.906,8121.594,90,1,0,12355.5,0.0182226039,2.4711,0,3005.368,3031.097,2998.34,3030.021,147122038.469,,,
